state,x,y
Alabama,150,-120
Alaska,-292,-180
Arizona,-210,-70
Arkansas,60,-80
California,-300,-40
Colorado,-120,0
Connecticut,328,15
Delaware,330,-15
Florida,250,-200
Georgia,205,-110
Hawaii,-175,-230
Idaho,-220,98
Illinois,110,20
Indiana,148,20
Iowa,55,45
Kansas,-20,-15
Kentucky,155,-30
Louisiana,71,-160
Maine,350,150
Maryland,330,-30
Massachusetts,250,250
Michigan,160,70
Minnesota,28,140
Mississippi,150,-200
Missouri,60,-20
Montana,-155,145
Nebraska,-40,40
Nevada,-260,30
New Hampshire,240,200
New Jersey,330,0
New Mexico,-140,-80
New York,270,83
North Carolina,237,-45
North Dakota,-50,140
Ohio,198,23
Oklahoma,-15,-65
Oregon,-295,115
Pennsylvania,240,50
Rhode Island,332,30
South Carolina,285,-100
South Dakota,-50,90
Tennessee,135,-60
Texas,-40,-140
Utah,-188,10
Vermont,220,185
Virginia,255,-20
Washington,-283,170
West Virginia,205,100
Wisconsin,80,100
Wyoming,-140, 70
